epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,47.6836,0.4504,0.23777,0.40724,0.9552,0.9172,1,0.98692,0.56603,0.9172,1,0.98692,0.5595,1.08116,0.21752,1.3925,1.34936,0.0008516,0.0008516,0.0008516
31,49.2197,0.32627,0.22546,0.35047,0.9336,0.9226,0.9935,0.98577,0.59805,0.9226,0.9935,0.98577,0.60463,1.32049,0.20305,1.36849,1.67274,0.000812,0.000812,0.000812
32,50.7611,0.37838,0.27823,0.36278,0.92547,0.94136,1,0.9786,0.49714,0.94136,1,0.9786,0.49628,2.01138,0.25763,1.07208,2.46306,0.0007724,0.0007724,0.0007724
33,52.4771,0.40114,0.25366,0.39377,0.94982,0.95592,1,0.965,0.48327,0.95592,1,0.965,0.48876,2.01573,0.28331,0.92446,2.74913,0.0007328,0.0007328,0.0007328
34,54.2259,0.49246,0.25257,0.51961,0.99402,0.93745,1,0.9786,0.70027,0.93745,1,0.9786,0.71652,0.56331,0.20002,0.9029,1.02655,0.0006932,0.0006932,0.0006932
35,55.8813,0.40076,0.25888,0.35304,0.92746,0.93951,1,0.9834,0.8941,0.93951,1,0.9834,0.89975,0.36524,0.19639,0.46304,0.9317,0.0006536,0.0006536,0.0006536
36,57.4877,0.3745,0.27578,0.31978,0.9726,0.93594,1,0.977,0.92003,0.93594,1,0.977,0.90951,0.38441,0.17802,0.3605,0.96624,0.000614,0.000614,0.000614
37,59.0057,0.33598,0.19888,0.30642,0.91715,0.9499,1,0.9786,0.86999,0.9499,1,0.9786,0.88009,0.50781,0.18898,0.46543,1.03517,0.0005744,0.0005744,0.0005744
38,60.4713,0.34798,0.21756,0.34896,0.91261,0.95777,1,0.977,0.9336,0.95777,1,0.977,0.91851,0.42988,0.19501,0.37717,1.00201,0.0005348,0.0005348,0.0005348
39,62.096,0.40887,0.22641,0.44399,0.9682,0.95753,1,0.987,0.95742,0.95753,1,0.987,0.96297,0.36469,0.20005,0.364,0.93997,0.0004952,0.0004952,0.0004952
