epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,106.479,0.35327,0.22683,0.44696,0.95187,0.35405,0.47991,0.26468,0.05224,0.35405,0.47991,0.2386,0.04457,3.1447,7.48412,3.04086,3.01056,0.00050796,0.00050796,0.00050796
24,108.423,0.43017,0.34292,0.46543,1.01815,0.31435,0.68792,0.31815,0.11062,0.29234,0.58333,0.23843,0.07665,2.10013,5.45502,3.90494,2.42847,0.000511924,0.000511924,0.000511924
25,110.307,0.40715,0.32199,0.42696,0.96761,0.42353,0.45833,0.49302,0.24002,0.52075,0.33333,0.3957,0.1517,1.96833,4.66961,3.41936,2.37088,0.000514304,0.000514304,0.000514304
26,112.277,0.43578,0.35492,0.45148,0.99034,0.17684,0.33333,0.12366,0.02462,0.10567,0.25,0.04771,0.00984,2.87908,4.08308,3.9339,3.15741,0.0005151,0.0005151,0.0005151
27,114.235,0.41828,0.29568,0.45657,0.99261,0.11485,0.39481,0.07843,0.01565,0.08528,0.29167,0.0532,0.00797,3.01118,6.30647,2.98193,2.85109,0.000514312,0.000514312,0.000514312
28,116.174,0.40418,0.2427,0.43446,0.99263,0.18529,0.54167,0.18371,0.08206,0.15405,0.33333,0.08185,0.01263,2.05198,11.895,2.73569,2.09677,0.00051194,0.00051194,0.00051194
29,118.017,0.39156,0.26837,0.40515,0.97984,0.45822,0.38807,0.41348,0.25873,0.41951,0.33333,0.30917,0.08609,1.29819,14.1013,2.45507,1.7139,0.000507984,0.000507984,0.000507984
30,119.93,0.33614,0.25674,0.38209,0.9692,0.54285,1,0.83857,0.72611,0.53108,0.99116,0.83654,0.31144,0.68641,17.9744,1.85912,1.2838,0.000502444,0.000502444,0.000502444
31,121.918,0.35997,0.22369,0.35483,0.95681,0.5498,0.875,0.78352,0.66041,0.5498,0.875,0.78352,0.36711,0.72162,16.6141,2.04982,1.25894,0.00049532,0.00049532,0.00049532
32,123.834,0.3366,0.24269,0.34811,0.95078,0.61878,0.83333,0.8067,0.68925,0.62111,0.81995,0.77559,0.37462,0.89487,14.8311,1.20595,1.30838,0.000486612,0.000486612,0.000486612
33,126.685,0.35786,0.2183,0.38609,0.96189,0.97979,0.79167,0.91569,0.59776,0.94411,0.70405,0.73491,0.23624,1.2781,16.0322,0.964,1.49851,0.00047632,0.00047632,0.00047632
34,128.616,0.33555,0.24082,0.36665,0.9721,0.95536,1,0.9886,0.90035,0.95536,1,0.9886,0.40289,0.48957,13.3481,0.46658,1.11086,0.000464444,0.000464444,0.000464444
35,130.619,0.32933,0.24332,0.37443,0.93067,0.94832,1,0.995,0.91617,0.94832,1,0.995,0.60008,0.38921,7.60663,0.36063,1.07785,0.000450984,0.000450984,0.000450984
36,132.494,0.32003,0.18473,0.3613,0.9496,0.9619,1,0.995,0.93796,0.9619,1,0.995,0.78361,0.29274,3.63475,0.32384,0.97507,0.00043594,0.00043594,0.00043594
37,134.31,0.32198,0.20543,0.34436,0.9296,1,0.98937,0.995,0.93488,1,0.98937,0.995,0.83244,0.35024,1.70701,0.35301,1.03212,0.000419312,0.000419312,0.000419312
38,136.288,0.31382,0.28984,0.32809,0.94057,0.99656,1,0.995,0.903,0.99656,1,0.995,0.88406,0.3615,0.70128,0.40842,1.07369,0.0004011,0.0004011,0.0004011
39,138.285,0.34491,0.21035,0.36298,0.94697,1,0.9933,0.995,0.93777,1,0.9933,0.995,0.92802,0.38715,0.38103,0.49051,1.09019,0.000381304,0.000381304,0.000381304
40,140.194,0.33817,0.23985,0.33414,0.94309,0.99358,1,0.995,0.88617,0.99358,1,0.995,0.89642,0.51743,0.35912,0.458,1.24783,0.000359924,0.000359924,0.000359924
41,145.313,0.28136,0.18181,0.85007,0.91519,0.92378,1,0.995,0.91892,0.92378,1,0.995,0.92321,0.35855,0.46162,0.63038,1.09254,0.00033696,0.00033696,0.00033696
42,147.389,0.24107,0.15864,0.42782,0.9048,0.95656,1,0.995,0.91338,0.95656,1,0.995,0.90609,0.35224,0.52321,0.74421,1.14955,0.000312412,0.000312412,0.000312412
43,149.145,0.2429,0.13923,0.44858,0.91971,1,1,0.995,0.92161,1,1,0.995,0.91452,0.34559,0.50599,0.84851,1.22263,0.00028628,0.00028628,0.00028628
44,150.865,0.25555,0.1501,0.38377,0.95091,0.96,1,0.9818,0.89443,0.96,1,0.9818,0.89856,0.35528,0.6097,0.93465,1.17488,0.000258564,0.000258564,0.000258564
45,152.618,0.21378,0.13497,0.38012,0.89861,0.96,1,0.9834,0.92302,0.96,1,0.9834,0.91179,0.30264,0.67283,0.96353,1.06701,0.000229264,0.000229264,0.000229264
46,154.732,0.20488,0.13884,0.34613,0.90981,0.96,1,0.965,0.8931,0.96,1,0.965,0.92601,0.3705,0.45311,1.49722,1.21479,0.00019838,0.00019838,0.00019838
47,157.727,0.2296,0.14889,0.35826,0.9351,0.96,1,0.965,0.89122,0.96,1,0.965,0.92448,0.36032,0.36727,1.64003,1.22089,0.000165912,0.000165912,0.000165912
48,159.747,0.19807,0.18524,0.30196,0.84026,0.96,1,0.9802,0.94238,0.96,1,0.9802,0.94595,0.29181,0.35739,1.19053,1.07103,0.00013186,0.00013186,0.00013186
49,161.765,0.20194,0.15211,0.38476,0.87063,0.96,1,0.9702,0.94101,0.96,1,0.9702,0.94888,0.25919,0.31408,0.88354,1.01608,9.6224e-05,9.6224e-05,9.6224e-05
50,163.703,0.17031,0.13311,0.31012,0.84401,0.96,1,0.9802,0.95985,0.96,1,0.9802,0.96322,0.25011,0.26865,0.75582,0.9828,5.9004e-05,5.9004e-05,5.9004e-05
