epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62464,1.90747,9.00829,5.09882,2.1421,0.15781,0.79167,0.16207,0.10217,0.15781,0.79167,0.16207,0.10244,0.79046,0.88837,4.46509,1.8329,2e-05,2e-05,2e-05
2,65.2296,1.91472,8.87584,4.89404,2.23609,0.17973,0.85828,0.1792,0.11853,0.17973,0.85828,0.1792,0.11797,0.81641,0.76961,4.67004,1.87896,5.8812e-05,5.8812e-05,5.8812e-05
3,67.435,1.77549,8.87043,4.57533,2.08499,0.18115,0.875,0.19364,0.12323,0.1866,0.90815,0.19364,0.12172,0.83889,0.66051,4.91474,1.93338,9.604e-05,9.604e-05,9.604e-05
4,69.7036,1.96812,9.28432,5.1649,2.23538,0.19893,0.91667,0.20325,0.12971,0.19637,0.91667,0.20325,0.1273,0.85724,0.60346,5.00641,1.95309,0.000131684,0.000131684,0.000131684
5,71.5147,1.88738,8.99064,5.03183,2.198,0.19322,0.83333,0.20274,0.12143,0.17577,0.79167,0.19372,0.11999,0.86856,0.5638,5.09459,1.96682,0.000165744,0.000165744,0.000165744
6,73.2809,1.69304,6.5924,4.45953,2.03131,0.07641,0.45833,0.07457,0.04067,0.07641,0.45833,0.07457,0.03962,0.93739,0.38686,15.1044,2.09932,0.00019822,0.00019822,0.00019822
7,75.2413,0.83978,1.73362,2.31357,1.3833,0.03011,0.16667,0.01952,0.00948,0.03011,0.16667,0.01192,0.00409,0.94525,5.51649,9.81364,1.96426,0.000229112,0.000229112,0.000229112
8,77.15,0.60098,0.66184,1.44437,1.1684,0.11094,0.56162,0.10074,0.05927,0.10425,0.25,0.06595,0.04298,0.70455,2.76167,19.1665,1.55993,0.00025842,0.00025842,0.00025842
9,79.0162,0.48536,0.37322,1.05242,1.05212,0.96,1,0.9902,0.87871,0.96,1,0.9902,0.87467,0.54305,0.36289,9.23627,1.43084,0.000286144,0.000286144,0.000286144
10,80.9793,0.48143,0.31354,0.85245,1.06196,0.75417,1,0.89121,0.78665,0.75417,1,0.89121,0.78958,0.54255,0.61661,5.01147,1.30336,0.000312284,0.000312284,0.000312284
11,82.8464,0.42407,0.2379,0.74341,1.02233,0.86933,1,0.9934,0.82063,0.86933,1,0.9934,0.81628,0.83725,0.63408,4.65052,1.79195,0.00033684,0.00033684,0.00033684
12,84.7283,0.44343,0.24252,0.64371,1.04371,0.37851,0.95833,0.86495,0.68217,0.37851,0.95833,0.86495,0.69827,0.87894,0.45816,6.65095,1.95648,0.000359812,0.000359812,0.000359812
13,86.6798,0.45246,0.30428,0.62245,1.01797,0.81294,1,0.92368,0.51601,0.81294,1,0.92368,0.51816,1.01621,0.34287,4.45644,2.20095,0.0003812,0.0003812,0.0003812
14,88.6227,0.39733,0.23801,0.51522,0.97004,0.73673,1,0.92399,0.52287,0.73673,1,0.92172,0.5274,1.13445,0.35036,3.43563,2.27691,0.000401004,0.000401004,0.000401004
15,90.5799,0.39666,0.29094,0.48514,0.99025,0.87817,0.95833,0.95349,0.5415,0.87817,0.95833,0.95349,0.5472,1.26579,0.37818,2.94869,2.90804,0.000419224,0.000419224,0.000419224
16,92.5234,0.3746,0.2504,0.59901,0.994,0.49273,0.91667,0.772,0.35083,0.49273,0.91667,0.772,0.36772,1.78618,0.5183,4.83919,3.53977,0.00043586,0.00043586,0.00043586
17,94.8152,0.36506,0.23884,0.43045,0.97042,0.41085,0.95833,0.59866,0.31885,0.41085,0.95833,0.59866,0.31268,1.19339,0.46088,4.98525,2.29387,0.000450912,0.000450912,0.000450912
18,97.0997,0.36882,0.27475,0.46728,0.97132,0.06487,0.375,0.04457,0.01164,0.06487,0.375,0.03182,0.00618,2.42177,5.96393,6.78449,2.99944,0.00046438,0.00046438,0.00046438
19,99.0393,0.353,0.20058,0.45442,0.97758,0.33056,0.45279,0.22973,0.0961,0.33056,0.45279,0.22889,0.07294,2.01043,2.40057,3.04942,2.48222,0.000476264,0.000476264,0.000476264
20,100.882,0.42677,0.27296,0.46532,0.99188,0.35811,0.58333,0.45746,0.259,0.35811,0.58333,0.38878,0.22437,1.63289,1.80514,1.87743,1.91557,0.000486564,0.000486564,0.000486564
21,102.677,0.37594,0.25754,0.43937,0.99286,0.00018,0.04167,0.00015,4e-05,0.00018,0.04167,0.00015,1e-05,5.39624,31.3439,3.8189,4.29775,0.00049528,0.00049528,0.00049528
22,104.535,0.38904,0.22999,0.47493,0.96231,0.09545,0.04167,0.02369,0.00709,0.09545,0.04167,0.02192,0.00678,4.2999,16.714,3.05897,3.58162,0.000502412,0.000502412,0.000502412
